"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "JavaScript", "Properties", "XML", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"d:\Web\aladin-reb\.devcontainer\devcontainer.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\Web\aladin-reb\.devcontainer\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\Web\aladin-reb\.env", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Web\aladin-reb\.prettierrc", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Web\aladin-reb\README.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Web\aladin-reb\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Web\aladin-reb\package.json", "JSON", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 1, 106
"d:\Web\aladin-reb\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\Web\aladin-reb\public\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\Web\aladin-reb\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Web\aladin-reb\src\_preview\component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"d:\Web\aladin-reb\src\_preview\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Web\aladin-reb\src\api\general-user.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Web\aladin-reb\src\api\index.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\Web\aladin-reb\src\api\institution.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"d:\Web\aladin-reb\src\api\login.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Web\aladin-reb\src\api\major.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\Web\aladin-reb\src\api\openapi-fetch.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"d:\Web\aladin-reb\src\api\subject.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"d:\Web\aladin-reb\src\api\v1.d.ts", "TypeScript", 0, 900, 0, 0, 0, 0, 0, 0, 0, 0, 997, 6, 1903
"d:\Web\aladin-reb\src\app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 11, 58
"d:\Web\aladin-reb\src\assets\index.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Web\aladin-reb\src\assets\landing\LogoMomo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Web\aladin-reb\src\assets\landing\LogoZalopay.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Web\aladin-reb\src\assets\landing\Momo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\Web\aladin-reb\src\assets\landing\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Web\aladin-reb\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Web\aladin-reb\src\components\checkbox-with-image\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 9, 71
"d:\Web\aladin-reb\src\components\checkbox-with-image\styles.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"d:\Web\aladin-reb\src\components\collapse-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"d:\Web\aladin-reb\src\components\collapse-overflow\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 10, 63
"d:\Web\aladin-reb\src\components\custom-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 23
"d:\Web\aladin-reb\src\components\custom-multiple-select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 5, 76
"d:\Web\aladin-reb\src\components\custom-search-box.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"d:\Web\aladin-reb\src\components\custom-select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 7, 51
"d:\Web\aladin-reb\src\components\edit-btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 7, 31
"d:\Web\aladin-reb\src\components\empty-image.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"d:\Web\aladin-reb\src\components\external-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"d:\Web\aladin-reb\src\components\floating-label-input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 11, 107
"d:\Web\aladin-reb\src\components\hidden-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
